Ethnicity,Year,Median Hourly Pay
White,2012,10.52
White,2013,10.63
White,2014,10.87
White,2015,10.97
White,2016,11.13
White,2017,11.53
White,2018,11.96
White,2019,12.33
All other ethnicities ,2012,10
All other ethnicities ,2013,10.27
All other ethnicities ,2014,10
All other ethnicities ,2015,10.13
All other ethnicities ,2016,10.71
All other ethnicities ,2017,11.05
All other ethnicities ,2018,11.54
All other ethnicities ,2019,12.09
