,16-29,30+
White Irish,-30.5,-36.4
White Other,-1.8,8.9
White and Black Caribbean,4.5,6.3
White and Black African,1.4,-0.9
White and Asian,-20.0,-14.1
Other mixed/multiple ethnic groups,8.7,-6.1
Indian,-14.6,-12.3
Pakistani,1.9,15.8
Bangladeshi,-1.8,22.6
Chinese,-45.5,-19.3
Asian Other,0.7,12.2
Black African,-12.8,15.7
Black Caribbean,-2.7,7.6
Black Other,-6.4,7.7
Arab,-23.2,10.9
Other ethnic group,-2.9,15.4
