,Male,Female
White Irish,-29.20,-51.00
White Other,12.40,2.30
White and Black Caribbean,7.40,13.40
White and Black African,7.00,9.60
White and Asian,-4.70,-11.50
Other mixed/multiple ethnic groups,3.60,-7.70
Indian,-19.70,-10.50
Pakistani,17.10,9.90
Bangladeshi,24.50,5.40
Chinese,-31.00,-26.30
Asian Other,11.80,1.30
Black African,12.00,2.60
Black Caribbean,12.70,-7.90
Black Other,10.90,-2.90
Arab,12.20,-11.40
Other ethnic group,12.70,0.90
