Region,Percent Diff
North East,9.5
North West,5.4
Yorkshire & Humberside,12.7
East Midlands,6.9
West Midlands,9.5
Eastern,-8.6
London,23.8
South East  ,5.9
South West ,6.1
Wales  ,1.4
Scotland  ,10.3
